Time	Value
22584254	729
22594222	3675
22604222	3673
22614222	3677
22624222	3790
22634269	3386
22644222	3583
22654222	3803
22664222	3792
22674238	618
22684222	3418
22694222	3556
22704222	3692
22714222	3693
22724222	3873
22734222	3425
22744222	3618
22754222	3797
22764222	3758
22774632	899
22784222	3401
22794222	3490
22804222	3728
22814222	3709
22824222	3473
22834222	3413
22844222	3519
22854222	3920
22864222	3741
22874222	3717
22884230	3778
22894222	3495
22904222	3759
22914222	3709
22924222	3726
22934222	3424
22944222	3437
22954222	3646
22964222	3795
22974222	3533
22984230	3468
22994222	3454
23004222	3567
23014222	3685
23024222	3730
23034222	3807
23044222	3431
23054222	3565
23064222	3824
23074222	3818
23084230	3440
23094222	3408
23104222	3542
23114222	3711
23124222	3673
23134222	3776
23144222	3447
23154222	3561
23164222	3829
23174222	3760
23184307	693
23194222	3408
23204222	3449
23214222	3770
23224222	3686
23234222	3552
23244222	3583
23254222	3471
23264222	3700
23274222	3763
23284222	3760
23294230	3782
23304222	3439
23314222	3507
23324222	3720
23334222	3719
23344222	3445
23354222	3419
23364222	3568
23374222	3818
23384222	3731
23394230	3703
23404222	3409
23414222	3523
23424222	3728
23434222	3718
23444222	3756
23454222	3413
23464222	3461
23474222	3775
23484222	3779
23494230	3706
23504222	3402
23514222	3470
23524222	3712
23534222	3667
23544222	3750
23554222	3728
23564222	3467
23574222	3604
23584222	3803
23594230	3687
23604222	3425
23614222	3413
23624222	3562
23634222	3696
23644222	3684
23654222	3809
23664222	3427
23674222	3583
23684222	3805
23694222	3754
23704230	3770
23714222	3406
23724222	3470
23734222	3747
23744222	3663
23754222	3504
23764222	3419
23774222	3482
23784222	3790
23794222	3739
23804230	3718
23814222	3815
23824222	3458
23834222	3517
23844222	3699
23854222	3696
23864222	3435
23874222	3414
23884222	3600
23894222	3796
23904230	3705
23914222	3625
23924222	3406
23934222	3536
23944222	3712
23954222	3727
23964222	3760
23974222	3414
23984222	3452
23994222	3789
24004230	3733
24014222	3489
24024222	3406
24034222	3461
24044222	3606
24054222	3673
24064222	3739
24074222	3799
24084222	3442
24094222	3561
24104222	3834
24114230	3687
24124222	3483
24134222	3408
24144222	3521
24154222	3722
24164222	3667
24174222	3767
24184222	3423
24194222	3519
24204222	3583
24214230	621
24224222	3793
24234222	3408
24244222	3411
24254222	3575
24264222	3648
24274222	3665
24284222	3815
24294222	3423
24305175	3447
24314230	3504
24324222	3774
24334222	3813
24344222	3357
24354222	3456
24364222	3759
24374222	3679
24384222	3504
24394222	3609
24404222	3467
24414230	3455
24424222	3760
24434222	3766
24444222	3826
24454222	3415
24464222	3494
24474222	3725
24484222	3721
24494222	3463
24504222	3415
24514222	3472
24524230	3520
24534222	3755
24544222	3787
24554222	3787
24564222	3451
24574222	3509
24584222	3697
24594222	3727
24604222	3437
24614222	3382
24624230	3418
24634222	3831
24644222	3717
24654222	3678
24664222	3397
24674222	3493
24684222	3760
24694222	3734
24704222	3739
24714563	726
24724230	3344
24734222	3600
24744222	3810
24754222	3735
24764222	3603
24774222	3407
24784222	3522
24794222	3718
24804222	3714
24814222	3744
24824230	3392
24834222	3433
24844222	3665
24854222	3790
24864222	3539
24874222	3391
24884222	3421
24894222	3545
24904222	3712
24914222	3731
24925046	3696
24934222	3401
24944222	3471
24954222	3824
24964222	3779
24974222	3502
24984222	3404
24994222	3465
25004222	3569
25014222	3683
25024222	3686
25034230	3727
25044222	3427
25054222	3523
25064222	3843
25074222	3779
25084222	3479
25094222	3405
25104222	3485
25114222	4067
25124234	3632
25134230	3654
25144222	3818
25154222	3437
25164222	3561
25174222	3905
25184222	3809
25194222	3447
25204222	3403
25214222	3511
25224222	3741
25234230	3629
25244222	3750
25254222	3648
25264222	3483
25274222	3604
25284222	3809
25294222	3798
25304222	3424
25314222	3405
25324222	3532
25334649	823
25344222	3691
25354222	3769
25364222	3423
25374222	3511
25384222	3631
25394222	3792
25404222	3790
25414222	3416
25424222	3426
25434222	3509
25444230	3659
25454222	3681
25464222	3795
25474222	3423
25484222	3559
25494222	3830
25504222	3772
25514222	3794
25524222	3413
25534222	3399
25544230	3465
25554222	3680
25564222	3707
25574222	3805
25584222	3435
25594222	3613
25604222	3792
25614222	3763
25624222	3810
25634222	3408
25644230	3429
25654222	3751
25664222	3683
25674222	3547
25684222	3636
25694222	3451
25704222	3651
25714222	3770
25724222	3759
25734222	3833
25744573	3866
25754226	3414
25764222	3726
25774222	3699
25784222	3479
25794222	3427
25804222	3393
25814222	3819
25824222	3741
25834222	3851
25844230	3839
25854230	3331
25864222	3503
25874222	3709
25884222	3734
25894222	3455
25904222	3429
25914222	3534
25924222	3874
25934222	3739
25944222	3760
25954230	3816
25964222	3472
25974222	2002
25984222	3725
25994222	3697
26004222	3434
26014222	3423
26024222	3579
26034222	3743
26044222	3742
26054230	3755
26064222	3403
26074222	3507
26084222	3747
26094222	3760
26104222	3728
26114222	3419
26124222	3441
26134222	3642
26144222	3792
26154230	3715
26164222	3440
26174222	3424
26184222	3522
26194222	3711
26204222	3738
26214222	3775
26224222	3411
26234222	3465
26244222	3801
26254222	3735
26264230	3674
26274222	3408
26284222	3450
26294222	3565
26304222	3681
26314222	3742
26324222	3808
26334222	3418
26344222	3508
26354222	3815
26364230	3711
26374222	3470
26384222	3403
26394222	3487
26404222	4095
26414222	3664
26424222	3745
26434222	3819
26444222	3449
26454222	3572
26464230	3730
26474222	3805
26484222	3443
26494222	3406
26504222	3517
26514222	3735
26524222	3665
26534222	3746
26544222	3634
26554222	3474
26564230	3429
26574222	3803
26584222	3802
26594222	3437
26604222	3407
26614222	3529
26624222	3723
26634222	3661
26644222	3763
26654222	3440
26664222	3441
26674230	3428
26684222	3781
26694222	3792
26704222	3414
26714222	3410
26724222	3535
26734222	3726
26744222	3660
26754222	3771
26764222	3507
26774230	3365
26784222	3618
26794222	3803
26804222	3788
26814222	3421
26824222	3411
26834222	3526
26844222	3717
26854222	3661
26864963	4095
26874230	3795
26884222	3489
26894222	3626
26904222	3797
26914222	3787
26924222	3426
26934222	3408
26944222	3536
26954222	3711
26964222	3669
26974230	3686
26984222	3415
26994222	3494
27004222	3611
27014222	3795
27024222	3783
27034222	3428
27044222	3399
27054222	3536
27064222	3719
27074222	3649
27084230	3702
27094222	3421
27104222	3503
27114222	3629
27124222	3799
27134222	3793
27144222	3427
27154222	3399
27164222	3536
27174222	3685
27184230	3632
27194222	3772
27204222	3419
27214222	3507
27224222	3630
27234222	3794
27244222	3799
27254222	3420
27264222	3413
27274583	733
27284230	3694
27294222	3662
27304222	3758
27314222	3421
27324222	3531
27334222	3642
27344222	3795
27354222	3798
27364222	3415
27374222	3421
27384230	3425
27394222	3638
27404222	3660
27414222	3799
27424222	3418
27434222	3551
27444222	3712
27454222	3779
27464222	3795
27474222	3410
27485047	3762
27494222	3583
27504222	3683
27514222	3693
27524222	3813
27534222	3427
27544222	3583
27554222	3820
27564222	3777
27574222	3810
27584222	3381
27594230	3367
27604222	3974
27614222	3687
27624222	3719
27634222	3801
27644222	3430
27654222	3617
27664222	3805
27674222	3767
27684228	3791
27694230	3375
27704222	3450
27714222	3761
27724222	3673
27734222	3672
27744222	3631
27754222	3451
27764222	3645
27774222	3777
27784222	3766
27794230	3766
27804222	3408
27814222	3483
27824222	3745
27834222	3675
27844222	3471
27854222	3383
27864222	3472
27874222	3701
27884222	3749
27894644	884
27904222	3835
27914222	3427
