Time	Value
29384714	832
29394682	3863
29404682	3861
29414682	3822
29424682	3808
29434683	3774
29444682	3790
29454682	3787
29464682	3792
29474698	753
29484682	4065
29494682	4062
29504682	4021
29514682	3984
29524682	3962
29534682	4030
29544682	3951
29554682	4010
29564682	3931
29574682	4035
29584686	671
29594682	3979
29604682	3868
29614682	3861
29624682	3826
29634682	3811
29644682	3792
29654682	3773
29664682	3777
29674682	3777
29684690	675
29694682	3810
29704682	3815
29714682	3916
29724682	3853
29734682	3978
29744682	4011
29754682	3946
29764682	4003
29774802	627
29784690	690
29794682	3986
29804682	3888
29814682	3829
29824682	3825
29834682	3807
29844682	3796
29854682	3789
29864682	3786
29874682	3785
29884690	724
29894682	3913
29904682	4046
29914682	3984
29924682	3998
29934682	4018
29944682	3980
29954682	4019
29964682	3961
29974682	4031
29985281	3955
29994682	4065
30004682	4016
30014682	3888
30024682	3831
30034682	3827
30044682	3793
30054682	3787
30064682	3776
30074682	3791
30084682	4070
30094690	725
30104682	4069
30114682	4006
30124682	4039
30134682	3981
30144682	4019
30154682	3933
30164682	4022
30174682	3958
30184682	4075
30194690	690
30204682	3888
30214682	3848
30224682	3839
30234682	3811
30244682	3799
30254682	3784
30264682	3786
30274682	3786
30284682	3792
30294690	694
30304682	3779
30314682	3839
30324682	3989
30334682	4005
30344682	3959
30354682	4015
30364682	3971
30374682	4032
30384682	3995
30394887	815
30404682	3820
30414682	3845
30424682	3824
30434682	3795
30444682	3783
30454682	3774
30464682	3779
30474682	3777
30484682	3952
30494682	4030
30504690	713
30514682	4003
30524682	4026
30534682	3971
30544682	4018
30554682	3959
30564682	4048
30574682	3982
30584682	3925
30594682	3847
30604690	688
30614682	3821
30624682	3811
30634682	3786
30644682	3775
30654682	3773
30664682	3965
30674682	4080
30684682	4045
30694682	4046
30704690	720
30714682	4027
30724682	3952
30734682	4009
30744682	3939
30754682	4031
30764682	3984
30774682	3925
30784682	3853
30794682	3856
30804690	688
30814682	3799
30824682	3778
30834682	3778
30844682	3781
30854682	3783
30864682	3805
30874682	3829
30884682	3839
30894682	3984
30904682	4013
30914690	703
30924682	4016
30934682	3965
30944682	4031
30954682	3999
30964682	3878
30974682	3826
30984682	3813
30994682	3798
31004682	3781
31014690	689
31024682	3780
31034682	3786
31044682	4030
31054682	3906
31064682	4015
31074682	4037
31084682	3971
31094682	4017
31104682	3946
31114690	727
31124682	3981
31134682	3902
31144682	3870
31154682	3864
31164682	3814
31174682	3799
31184682	3779
31194682	3783
31204682	3765
31214690	737
31224682	4075
31234682	4021
31244682	4038
31254682	3968
31264682	4022
31274682	3934
31284682	4016
31294682	3952
31304682	4095
31314682	3921
31324690	686
31334682	3830
31344682	3821
31354682	3791
31364682	3787
31374682	3775
31384682	3779
31394682	3787
31404682	3820
31414682	3825
31424690	706
31434682	4006
31444682	3959
31454682	4014
31464682	3959
31474682	4034
31484682	3998
31494682	3877
31504682	3824
31514682	3805
31524690	688
31534682	3783
31544682	3777
31554682	3776
31564682	3781
31574682	4023
31584682	3935
31594682	4007
31604682	4021
31614682	3974
31624690	721
31634682	3952
31644682	4064
31654682	3985
31664682	3914
31674682	3846
31684682	3842
31694682	3794
31704682	3770
31714682	3775
31724682	3777
31734690	715
31744682	4071
