Time	Value
16825413	2061
16835381	752
16845381	697
16855381	689
16865381	716
16875381	801
16885381	659
16895381	797
16905381	682
16915397	811
16925381	689
16935381	800
16945381	672
16955381	784
16965381	685
16975381	801
16985381	675
16995381	784
17005381	755
17015774	628
17025381	713
17035381	719
17045381	719
17055381	765
17065381	815
17075381	723
17085381	797
17095381	688
17105381	718
17115381	701
17125389	809
17135381	688
17145381	795
17155381	677
17165381	778
17175381	686
17185381	825
17195381	731
17205381	784
17215381	740
17225389	752
17235381	685
17245381	750
17255381	777
17265381	745
17275381	741
17285381	711
17295381	735
17305381	752
17315381	815
17325389	714
17335381	789
17345381	681
17355381	758
17365381	688
17375381	774
17385381	686
17395381	802
17405381	675
17415381	779
17425401	718
17435381	805
17445381	751
17455381	785
17465381	749
17475381	737
17485381	679
17495381	755
17505381	784
17515381	737
17525381	762
17535389	716
17545381	743
17555381	744
17565381	811
17575381	709
17585381	797
17595381	685
17605381	765
17615381	684
17625381	773
17635389	753
17645381	801
17655381	690
17665381	779
17675381	684
17685381	813
17695381	761
17705381	794
17715381	754
17725381	732
17735389	730
17745381	743
17755381	784
17765381	735
17775381	765
17785381	699
17795381	742
17805381	736
17815381	812
17825381	705
17835389	811
17845381	688
17855381	768
17865381	685
17875381	773
17885381	679
17895381	802
17905381	672
17915381	779
17925381	682
17935381	791
17945389	816
17955381	758
17965381	759
17975381	731
17985381	688
17995381	737
18005381	794
18015381	733
18025381	763
18035381	694
18045389	784
18055381	743
18065381	810
18075381	704
18085381	786
18095381	679
18105381	769
18115381	682
18125381	771
18135381	689
18145389	794
18155381	674
18165381	783
18175381	681
18185381	801
18195381	762
18205381	759
18215381	763
18225381	726
18235381	681
18245389	738
18255381	789
18265381	733
18275381	766
18285381	699
18295381	751
18305381	738
18315381	811
18325381	703
18335381	784
18345381	677
18355389	829
18365381	681
18375381	769
18385381	691
18395381	815
18405381	670
18415381	780
18425381	679
18435381	795
18445381	779
18455389	753
18465381	766
18475381	721
18485381	686
18495381	735
18505381	785
18515381	729
18525381	771
18535381	697
18546117	659
