Time	Value
301849990	0
301859962	0
301869962	0
301879962	0
301889962	0
301899962	0
301909962	0
301919962	0
301929962	0
301939966	0
301949962	0
301959962	0
301969962	0
301979962	0
301989962	0
301999962	0
302009962	0
302019962	0
302029962	0
302039996	0
302049962	0
302059962	0
302069962	0
302079962	0
302089962	0
302099962	0
302109962	0
302119962	0
302129962	0
302139962	0
302149966	0
302159962	0
302169962	0
302179962	0
302189962	0
302199962	0
302209962	0
302219962	0
302229962	0
302239962	0
302249966	0
302259962	0
302269962	0
302279962	0
302289962	0
302299962	0
302309962	0
302319962	0
302329962	0
302339962	0
302349966	0
302359962	0
302369962	0
302379962	0
302389962	0
302399962	0
302409962	0
302419962	0
302429962	0
302439962	1
302449966	1
302459962	1
302469962	1
302479962	1
302489962	1
302499962	1
302509962	1
302519962	1
302529962	1
302539962	1
302549962	1
302559966	1
302569962	1
302579962	1
302589962	1
302599962	1
302609962	1
302619962	1
302629962	1
302639962	1
302649962	1
302659966	1
302669962	1
302679962	1
302689962	1
302699962	1
302709962	1
302719962	1
302729962	1
302739962	1
302749962	1
302759966	1
302769962	1
302779962	1
302789962	1
302799962	1
302809962	1
302819962	1
302829962	1
302839962	1
302849962	1
302859966	1
302869962	1
302879962	1
302889962	1
302899962	1
302909962	1
302919962	1
302929962	1
302939962	1
302949962	1
302959962	1
302969966	1
302979962	1
302989962	1
302999962	1
303009962	1
303019962	1
303029962	1
303039962	0
303049962	0
303059962	0
303069966	0
303079962	0
303089962	0
303099962	0
303109962	0
303119962	0
303129962	0
303139962	0
303149962	0
303159962	0
303169966	0
303179962	0
303189962	0
303199962	0
303209962	0
303219962	0
303229962	0
303239962	0
303249962	0
303260755	0
303269966	0
303279962	0
303289962	0
303299962	0
303309962	0
303319962	0
303329962	0
303339962	0
303349962	0
303359962	0
303370563	0
303379962	0
303389962	0
303399962	0
303409962	0
303419962	0
303429962	0
303439962	0
303449962	0
303459962	0
303469962	0
303479966	0
303489962	0
303499962	0
303509962	0
303519962	0
303529962	0
303539962	0
303549962	0
303559962	0
303569962	0
303579966	0
303589962	0
303599962	0
303609962	0
303619962	0
303629962	0
303639962	0
303649962	0
303659962	0
303670342	0
303679966	0
303689962	0
303699962	0
303709962	0
303719962	0
303729962	0
303739962	0
303749962	0
303759962	0
303769962	0
303780153	0
303789962	0
303799962	0
303809962	0
303819962	0
303829962	0
303839962	0
303849962	0
303859962	0
303869962	0
303879962	0
303889966	0
303899962	0
303909962	0
303919962	0
303929962	0
303939962	0
303949962	0
303959962	0
303969962	0
303979962	0
303989966	0
303999962	0
304009962	0
304019962	0
304029962	0
304039962	0
304049962	0
304059962	0
304069962	0
304079960	0
304089966	0
304099962	0
304109962	0
304119962	0
304129962	0
304139962	0
304149962	0
304159962	0
304169962	0
304179962	0
304189966	0
304199962	0
304209962	0
304219962	0
304229962	0
304239962	0
304249962	0
304259962	0
304269962	0
304279962	0
304289962	0
304299966	0
304309962	0
304319962	0
304329962	0
304339962	0
304349962	0
304359962	0
304369962	0
304379962	0
304389962	0
304399966	0
304409962	0
304419962	0
304429962	0
304439962	0
304449962	0
304459962	0
304469962	0
304479962	0
304489962	0
304499966	0
304509962	0
304519962	0
304529962	0
304539962	1
304549986	1
304559962	1
304569962	1
304579962	1
304589962	1
304600082	1
304609962	1
304619962	1
304629962	1
304639962	1
304649962	1
304659962	1
304669962	1
304679962	1
304689962	1
304699966	1
304709966	1
304719962	1
304729962	1
304739962	1
304749962	1
304759962	1
304769962	1
304779962	1
304789962	1
304799962	1
304809966	1
304819962	1
