Time	Value
22887443	3482
22897411	870
22907411	887
22917411	790
22927411	839
22937411	4095
22947411	815
22957411	851
22967411	881
22977427	3545
22987411	798
22997411	858
23007411	905
23017411	805
23027411	880
23037411	895
23047411	827
23057411	794
23067411	906
23077444	3520
23087411	796
23097411	893
23107411	809
23117411	795
23127411	817
23137411	839
23147411	801
23157411	896
23167411	880
23177411	4095
23187419	3970
23197411	867
23207411	843
23217411	801
23227411	907
23237411	886
23247411	777
23257411	877
23267411	893
23277411	4095
23287419	3536
23297411	897
23307411	844
23317411	791
23327411	911
23337411	843
23347411	786
23357411	831
23367411	890
23377411	806
23387419	3732
23397411	909
23407411	808
23417411	835
23427411	873
23437411	848
23447411	819
23457411	847
23467411	901
23477411	805
23487419	3877
23497411	879
23507411	854
23517411	802
23527411	832
23537411	907
23547411	813
23557411	801
23567411	846
23577411	881
23587411	4095
23597419	3726
23607411	911
23617411	848
23627411	806
23637411	797
23647411	896
23657411	833
23667411	797
23677411	912
23687411	4095
23697419	3483
23707411	803
23717411	886
23727411	823
23737411	801
23747411	905
23757411	827
23767411	799
23777411	831
23787411	893
23797419	3459
23807411	801
23817411	902
23827411	827
23837411	803
23847411	823
23857411	883
23867411	828
23877411	791
23887411	912
23897419	3890
23907411	803
23917411	802
23927411	891
23937411	829
23947411	796
23957411	912
23967411	841
23977411	802
23987411	813
23997411	4095
24007419	3658
24017411	795
24027411	900
24037411	832
24047411	800
24057411	816
24067411	890
24077411	817
24087411	795
24097411	4095
24107419	3511
24117411	796
24127411	801
24137411	882
24147411	813
24157411	4095
24167411	4095
24177411	841
24187411	805
24198355	794
24207419	3878
24217411	826
24227411	797
24237411	910
24247411	784
24257411	796
24267411	816
24277411	890
24287411	825
24297411	796
24307419	4018
24317411	838
24327411	801
24337411	815
24347411	880
24357411	822
24367411	796
24377411	907
24387411	835
24397411	807
24407411	832
24417419	4095
24427411	823
24437411	795
24447411	905
24457411	839
24467411	802
24477411	810
24487411	885
24497411	827
24507411	4095
24517419	4095
24527411	839
24537411	791
24547411	807
24557411	889
24567411	825
24577411	795
24587411	906
24597411	835
24607781	3581
24617419	3725
24627411	890
24637411	822
24647411	798
24657411	911
24667411	838
24677411	798
24687411	835
24697411	890
24707411	828
24717419	3520
24727411	909
24737411	834
24747411	803
24757411	812
24767411	890
24777411	823
24787411	791
24797411	930
24807411	837
24818261	4095
24827411	811
24837411	889
24847411	823
24857411	795
24867411	911
24877411	842
24887411	799
24897411	797
24907411	905
24917411	4095
24927419	3659
24937411	909
24947411	839
24957411	814
24967411	805
24977411	891
24987411	823
24997411	795
25007411	906
25017411	4095
25027419	3646
25037411	807
25047411	889
25057411	826
25067411	797
25077411	903
25087411	832
25097411	819
25107411	821
25117411	891
25127419	3458
25137411	800
25147411	901
25157411	835
25167411	800
25177411	826
25187411	882
25197411	832
25207411	795
25217411	902
25227855	691
25237411	805
25247411	811
25257411	891
25267411	831
25277411	793
25287411	909
25297411	838
25307411	801
25317411	819
25327411	4095
25337419	3702
25347411	787
25357411	910
25367411	843
25377411	800
25387411	822
25397411	896
25407411	821
25417411	797
25427411	4095
25437419	3993
25447411	797
25457411	818
25467411	891
25477411	826
25487411	805
25497411	902
25507411	837
25517411	807
25527411	821
25537419	3902
25547411	835
25557411	795
25567411	905
25577411	842
25587411	805
25597411	817
25607411	908
25617411	825
25627411	801
25637444	4093
25647411	832
25657411	809
25667411	819
25677411	887
25687411	814
25697411	795
25707411	907
25717411	841
25727411	801
25737411	4095
25747419	4095
25757411	818
25767411	794
25777411	910
25787411	838
25797411	796
25807411	822
25817411	889
25827411	831
25837411	4095
25847419	4095
25857411	845
25867411	801
25877411	819
25887411	890
25897411	816
25907411	805
25917411	906
25927411	841
25937411	802
25947419	3644
25957411	878
25967411	827
25977411	795
25987411	910
25997411	831
26007411	802
26017411	820
26027411	887
26037411	826
26047419	3653
26057411	911
26067411	839
26077411	801
26087411	822
26097411	892
26107411	826
26117411	796
26127411	907
26137411	825
26147411	4095
26157419	3759
26167411	891
26177411	827
26187411	797
26197411	906
26207411	838
26217411	802
26227411	819
26237411	893
26247411	4095
26257419	3728
26267411	909
26277411	839
26287411	805
26297411	812
26307411	892
26317411	823
26327411	796
26337411	908
26347411	843
26357419	3569
26367411	823
26377411	886
26387411	828
26397411	797
26407411	901
26417411	843
26427411	803
26437411	819
26447411	885
26457419	3749
26467411	795
26477411	907
26487411	842
26497411	813
26507411	823
26517411	889
26527411	828
26537411	795
26547411	903
26557411	4095
26567419	3625
26577411	818
26587411	889
26597411	831
26607411	794
26617411	902
26627411	842
26637411	803
26647411	816
26657411	4095
26667419	3447
26677411	787
26687411	899
26697411	834
26707411	798
26717411	4095
26727411	4095
26737411	833
26747411	800
26758394	843
26767419	3648
26777411	800
26787411	819
26797411	887
26807411	823
26817411	795
26827411	909
26837411	840
26847411	820
26857411	798
26867419	3898
26877411	827
26887411	797
26897411	910
26907411	837
26917411	803
26927411	815
26937411	887
26947411	831
26957411	797
26967411	951
26977419	4078
26987411	803
26997411	815
27007411	880
27017411	831
27027411	795
27037411	910
27047411	835
27057411	797
27067411	4095
27077419	4095
27087411	829
27097411	795
27107411	910
27117411	842
27127411	800
27137411	819
27147411	890
27157411	817
27167827	3539
27177419	4095
27187411	842
27197411	803
27207411	815
27217411	891
27227411	827
27237411	795
27247411	902
27257411	838
27267411	801
27277419	3651
27287411	882
27297411	832
27307411	797
27317411	912
27327411	842
27337411	799
27347411	815
27357411	891
27367411	830
27378273	4095
27387411	912
27397411	841
27407411	803
27417411	817
27427411	890
27437411	827
27447411	791
27457411	911
27467411	842
27477411	4095
27487419	3751
27497411	887
27507411	831
27517411	794
27527411	907
27537411	841
27547411	805
27557411	826
27567411	891
27577415	4095
27587419	3632
27597411	909
27607411	839
27617411	803
27627411	816
27637411	895
27647411	831
27657411	798
27667411	910
27677411	842
27687419	3505
27697411	814
27707411	891
27717411	829
27727411	792
27737411	913
27747411	845
27757411	802
27767411	816
27777411	885
27787869	691
27797411	786
27807411	931
27817411	843
27827411	801
27837411	816
27847411	891
27857411	829
27867411	798
27877411	911
27887411	4095
27897419	3549
27907411	813
27917411	893
27927411	826
27937411	796
27947411	912
27957411	838
27967411	801
27977411	816
27987411	4095
27997419	3765
28007411	791
28017411	909
28027411	842
28037411	801
28047411	817
28057411	893
28067411	832
28077411	797
28087411	912
28097618	3106
28107411	793
28117411	810
28127411	880
28137411	821
28147703	651
28157411	4095
28167411	842
28177411	801
28187411	816
28197706	609
28207411	819
28217411	797
28227411	912
28237411	842
28247411	807
28257411	819
28267411	891
28277411	830
28287411	797
28297411	4095
28307419	3920
28317411	801
28327411	815
28337411	888
28347411	833
28357411	790
28367411	912
28377411	843
28387411	802
28397411	4095
28407419	4095
28417411	832
28427411	794
28437411	911
28447411	835
28457411	803
28467411	815
28477411	891
28487411	835
28497411	795
28507419	4095
28517411	842
28527411	800
28537411	813
28547411	893
28557411	831
28567411	793
28577411	912
28587411	842
28597411	804
28607419	3792
28617411	891
28627411	831
28637411	794
28647411	912
28657411	841
28667411	804
28677411	813
28687411	893
28697411	829
28707411	4095
28717419	4095
28727411	843
28737411	803
28747411	816
28757411	890
28767411	834
28777411	795
28787411	910
28797411	837
28807411	4095
28817419	3728
28827411	886
28837411	832
28847411	794
28857411	903
28867411	848
28877411	801
28887411	817
28897411	890
28907411	821
28917419	3559
28927411	911
28937411	846
28947411	804
28957411	817
28967411	883
28977411	829
28987411	799
28997411	909
29007411	839
29017419	3514
29027411	816
29037411	891
29047411	834
29057411	800
29067411	912
29077411	844
29087411	803
29097411	816
29107411	886
29117411	4095
29127419	3614
29137411	915
29147411	848
29157411	806
29167411	817
29177411	891
29187411	833
29197411	797
29207411	904
29217411	4095
29227419	3554
29237411	816
29247411	885
29257411	830
29267411	797
29277411	912
29287411	842
29297411	802
29307411	816
29318179	749
29327419	3758
29337411	795
29347411	912
29357411	844
29367411	798
29377411	809
29387411	883
29397411	833
29407411	807
29417411	911
29427419	3769
29437411	805
29447411	813
29457411	897
29467411	830
29477411	799
29487411	911
29497411	841
29507411	806
29517411	813
