Time	Value
22481469	710
22491441	791
22501441	785
22511441	730
22521441	652
22531441	4095
22541441	739
22551441	752
22561441	719
22571457	640
22581441	752
22591441	795
22601441	825
22611441	795
22621441	734
22631441	723
22641441	773
22651441	803
22661441	769
22672161	795
22681441	707
22691441	734
22701441	749
22711441	673
22721441	688
22731441	722
22741441	775
22751441	789
22761441	775
22771441	718
22781449	611
22791441	797
22801441	784
22811441	722
22821441	665
22831441	700
22841441	752
22851441	767
22861441	711
22871441	720
22881449	630
22891441	797
22901441	811
22911441	787
22921441	718
22931441	735
22941441	806
22951441	791
22961441	765
22971441	676
22981449	614
22991441	741
23001441	735
23011441	666
23021441	689
23031441	730
23041441	791
23051441	787
23061441	771
23071441	700
23081751	714
23091441	791
23101441	818
23111441	704
23121441	668
23131441	706
23141441	797
23151441	746
23161441	705
23171441	722
23181441	4095
23191449	695
23201441	821
23211441	783
23221441	702
23231441	743
23241441	798
23251441	804
23261441	753
23271441	679
23281441	726
23291449	630
23301441	720
23311441	666
23321441	699
23331441	739
23341441	790
23351441	779
23361441	770
23371441	704
23381441	753
23391449	674
23401441	767
23411441	684
23421441	681
23431441	717
23441441	769
23451441	747
23461441	699
23471441	738
23481441	787
23491449	733
23501441	814
23511441	764
23521441	719
23531441	760
23541441	811
23551441	783
23561441	731
23571441	689
23581441	745
23591441	786
23601449	605
23611441	672
23621441	707
23631441	751
23641441	789
23651441	784
23661441	745
23671441	720
23681441	778
23691441	807
23701449	645
23711441	669
23721441	691
23731441	736
23741441	750
23751441	734
23761441	718
23771441	751
23781441	791
23791441	830
23801449	686
23811441	743
23821441	722
23831441	770
23841441	797
23851441	770
23861441	704
23871441	704
23881441	734
23891441	759
23901449	653
23911441	692
23921441	719
23931441	762
23941441	822
23951441	777
23961441	723
23971441	733
23981441	795
23991441	789
24001441	742
24011449	635
24021441	711
24031441	731
24041441	755
24051441	720
24061441	716
24071441	737
24081441	807
24091441	817
24101441	4095
24111449	673
24121441	720
24131441	767
24141441	795
24151441	761
24161441	681
24171441	719
24181441	735
24191441	748
24201441	656
24211449	606
24221441	727
24231441	752
24241441	789
24251441	767
24261441	720
24271441	741
24281441	793
24291441	783
24301441	719
24311449	655
24321441	703
24331441	790
24341441	752
24351441	704
24361441	727
24371441	747
24381441	799
24391441	817
24401441	773
24411441	715
24421449	623
24431441	801
24441441	795
24451441	768
24461441	708
24471441	730
24481441	781
24491441	720
24501441	673
24511441	691
24521449	615
24531441	787
24541441	784
24551441	762
24561441	709
24571441	750
24581441	816
24591441	771
24601441	685
24612091	755
24621449	618
24631441	778
24641441	731
24651441	707
24661441	730
24671441	780
24681441	816
24691441	807
24701441	763
24711441	718
24721449	626
24731441	807
24741441	793
24751441	725
24761441	687
24771441	720
24781441	765
24791441	712
24801441	686
24811441	714
24821441	743
24831449	688
24841441	767
24851441	751
24861441	719
24871441	769
24881441	799
24891441	752
24901441	665
24911441	696
24921441	736
24931449	666
24941441	720
24951441	714
24961441	756
24971441	783
24981441	807
24991441	797
25001441	717
25011441	715
25021690	640
25031449	688
25041441	773
25051441	713
25061441	707
25071441	749
25081441	741
25091441	679
25101441	695
25111441	740
25121441	758
25131449	688
25141441	781
25151441	762
25161441	719
25171441	784
25181441	791
25191441	725
25201441	666
25211441	703
25221441	742
25232188	665
25241441	715
25251441	706
25261441	765
25271441	811
25281441	827
25291441	789
25301441	737
25311441	743
25321441	778
25331441	800
25341449	667
25351441	675
25361441	703
25371441	734
25381441	745
25391441	669
25401441	689
25411441	731
25421441	768
25431441	784
25441449	656
25451441	704
25461441	755
25471441	791
25481441	798
25491441	720
25501441	663
25511441	711
25521441	773
25531441	739
25541449	659
25551441	721
25561441	783
25571441	816
25581441	809
25591441	782
25601441	703
25611441	736
25621441	785
25631441	795
