Time	Value
16396892	725
16406860	2953
16416860	3217
16426860	3248
16436860	3254
16447051	704
16456860	2855
16466860	3056
16476860	3274
16486876	734
16496860	2791
16506860	2735
16516860	2815
16526860	320
16536860	3105
16546860	3312
16556860	2713
16566860	2714
16576860	2928
16587261	786
16596860	3264
16606860	2827
16616860	2670
16626860	2789
16636860	4047
16646860	3250
16656860	3194
16666860	3403
16676860	2691
16686860	2781
16696868	690
16706860	3117
16716860	3335
16726860	2950
16736860	2724
16746860	2974
16756860	3136
16766860	3295
16776860	3344
16786860	2633
16796868	662
16806860	3250
16816860	3294
16826860	3242
16836860	2687
16846860	2700
16856860	2799
16866860	3371
16876860	3162
16886860	2814
16896868	734
16906860	2720
16916860	3232
16926860	3175
16936860	3234
16946860	3360
16956860	2655
16966860	2893
16976860	3258
16986860	3254
16996911	741
17006860	2666
17016860	2762
17026860	2871
17036860	3311
17046860	3130
17056860	2873
17066860	2714
17076860	2749
17086860	2960
17096860	593
17106868	720
17116860	2739
17126860	2684
17136860	2842
17146860	3234
17156860	3253
17166860	3179
17176860	3409
17186860	2717
17196860	2800
17206868	711
17216860	3139
17226860	3358
17236860	2688
17246860	2754
17256860	3286
17266860	3120
17276860	3287
17286860	3363
17296860	2677
17306868	673
17316860	3223
17326860	3279
17336860	3259
17346860	2678
17356860	2704
17366860	2837
17376860	3351
17386860	3177
17396860	2812
17406868	709
17416860	2727
17426860	3268
17436860	3191
17446860	3153
17456860	3359
17466860	2645
17476860	2911
17486860	3253
17496860	3248
17506860	3153
17516868	667
17526860	2765
17536860	2877
17546860	3311
17556860	3131
17566860	2945
17576860	2711
17586860	2758
17596860	2974
17606860	3111
17616868	720
17626860	2736
17636860	2675
17646860	2863
17656860	3239
17666860	3258
17676860	3179
17686860	3408
17696860	2730
17706860	2875
17716868	721
17726860	3146
17736860	3374
17746860	2672
17756860	2768
17766860	3147
17776860	3118
17786860	3286
17796860	3379
17806860	2693
17816868	673
17826860	3216
17836860	3280
17846860	3266
17856860	2675
17866860	2742
17876860	2849
17886860	3333
17896860	3182
17906860	2722
17916860	2704
17926868	669
17936860	3952
17946860	3196
17956860	2959
17966860	3329
17976860	2669
17986860	2935
17996860	3237
18006860	3259
18016860	3195
18026868	673
18036860	2788
18046860	2934
18056860	3281
18066860	3135
18076860	2972
18086860	2722
18096860	2772
18106860	2977
18117698	2930
18126868	733
18136860	2727
18146860	2686
18156860	2891
18166860	3219
18176860	3248
18186860	3058
18196860	3199
18206860	2743
18216860	2849
18226868	711
18236860	3157
18246860	3349
18256860	2679
18266860	2773
18276860	3327
18286860	3114
18296860	3297
18306860	3376
18316860	2686
18326860	2843
18336868	667
18346860	3265
18356860	3287
18366860	2669
18376860	2733
18386860	2880
18396860	3329
18406860	3189
18416860	2759
18426860	2654
18436868	672
18446860	3607
18456860	3205
18466860	2919
18476860	3331
18486860	2672
18496860	2960
18506860	3227
18516860	3258
18527229	784
18536868	674
18546860	2811
18556860	3013
18566860	3276
18576860	3168
18586860	2065
18596860	2725
18606860	2800
18616860	3027
18626860	3119
18636868	734
18646860	2661
18656860	2701
18666860	2899
18676860	3203
