Time	Value
28776289	828
28786257	670
28796257	670
28806257	624
28816257	678
28826257	720
28836257	681
28846257	628
28856257	687
28866273	763
28876257	641
28886257	624
28896257	676
28906257	680
28916257	639
28926257	626
28936257	679
28946257	672
28956257	635
28966616	763
28976257	672
28986257	678
28996257	631
29006257	627
29016257	678
29026257	679
29036257	651
29046257	627
29056257	662
29066257	653
29076265	679
29086257	641
29096257	688
29106257	637
29116257	625
29126257	642
29136257	672
29146257	638
29156257	624
29166257	695
29176265	749
29186257	627
29196257	681
29206257	679
29216257	688
29226257	627
29236257	661
29246257	669
29256257	661
29266257	624
29276265	766
29286257	684
29296257	640
29306257	626
29316257	679
29326257	671
29336257	635
29346257	688
29356257	672
29366257	641
29376265	674
29386257	688
29396257	678
29406257	634
29416257	630
29426257	681
29436257	687
29446257	639
29456257	625
29466257	674
29476257	700
29486265	673
29496257	626
29506257	680
29516257	672
29526257	640
29536257	619
29546257	662
29556257	688
29566257	631
29576257	630
29586265	762
29596257	678
29606257	627
29616257	630
29626257	673
29636257	651
29646257	625
29656257	637
29666257	677
29676257	641
29686265	697
29696257	638
29706257	662
29716257	641
29726257	624
29736257	679
29746257	681
29756257	633
29766257	627
29776257	656
29786265	739
29796257	630
29806257	640
29816257	671
29826257	704
29836257	635
29846257	686
29856257	678
29866257	682
29876257	626
29886257	688
29896265	747
29906257	675
29916257	624
29926257	683
29936257	672
29946257	640
29956257	624
29966257	683
29976257	669
29986257	630
29996265	767
30006257	677
30016257	679
30026257	634
30036257	681
30046257	678
30056257	673
30066257	631
30076257	688
30086257	670
30096265	697
30106257	627
30116257	683
30126257	674
30136257	629
30146257	626
30156257	681
30166257	673
30176257	637
30186257	624
30196265	751
30206257	687
30216257	633
30226257	626
30236257	678
30246257	678
30256257	627
30266257	629
30276257	670
30286257	652
30296257	629
30306265	743
30316257	679
30326257	646
30336257	613
30346257	640
30356257	663
30366257	637
30376257	623
30386257	673
30396257	717
30406265	674
30416257	686
30426257	679
30436257	682
30446257	626
30456257	657
30466257	668
30476257	656
30486257	624
30496964	3989
30506265	714
30516257	634
30526257	634
30536257	688
30546257	674
30556257	635
30566257	688
30576257	656
30586257	671
30596257	627
30606265	770
30616257	679
30626257	624
30636257	635
30646257	688
30656257	673
30666257	639
30676257	624
30686257	672
30696257	674
30706257	637
30716265	685
30726257	677
30736257	679
30746257	629
30756257	624
30766257	662
30776257	666
30786257	629
30796257	638
30806257	693
30816265	693
30826257	621
30836257	641
30846257	662
30856257	638
30866257	624
30876257	675
30886257	688
30896257	629
30906563	802
30916265	765
30926257	675
30936257	621
30946257	653
30956257	665
30966257	688
30976257	628
30986257	690
30996257	677
31006257	637
31016265	749
31026257	686
31036257	667
31046257	638
31056257	676
31066257	674
31076257	681
31086257	626
31096257	688
31106257	680
31117117	694
31126257	619
31136257	682
31146257	671
31156257	639
31166257	626
31176257	673
31186257	677
31196257	631
31206257	625
31216257	695
31226265	729
31236257	631
31246257	625
31256257	667
31266257	656
31276257	624
31286257	625
31296257	679
31306257	640
31316257	631
31326265	734
31336257	663
31346257	639
31356257	624
31366257	672
31376257	688
31386257	631
31396257	675
31406257	675
31416257	682
31426265	681
31436257	656
31446257	671
31456257	656
31466257	626
31476257	682
31486257	675
31496257	635
31506257	629
31516257	682
31526645	751
31536257	629
31546257	688
31556257	669
31566257	627
31576257	629
31586257	691
31596257	679
31606257	637
31616257	626
31626257	700
31636265	751
31646257	636
31656257	624
31666257	673
31676257	684
31686257	634
31696257	627
31706257	677
31716257	677
31726257	631
31736265	686
31746257	662
31756257	643
31766257	625
31776257	667
31786257	673
31796257	636
31806257	624
31816257	656
31826257	675
31836265	686
31846257	643
31856257	662
31866257	695
31876257	630
31886257	699
31896257	678
31906257	640
31916257	624
31926257	681
31936270	753
31946257	629
31956257	666
31966257	673
31976257	683
31986257	624
31996257	691
32006257	679
32016257	629
32026257	627
32036257	699
32046265	743
32056257	640
32066257	624
32076257	673
32086257	677
32096257	638
32106257	626
32116257	678
32126257	676
32136257	644
32146265	688
32156257	663
32166257	644
32176257	625
32186257	662
32196257	677
32206257	634
32216257	624
32226257	654
32236257	662
32246265	679
32256257	656
32266257	669
32276257	695
32286257	621
32296257	674
32306257	675
32316257	638
32326257	624
32336257	713
32346265	751
32356257	634
32366257	669
32376257	671
32386257	677
32396257	629
32406257	688
32416257	679
32426257	627
32436257	629
32446257	702
32456265	752
32466257	638
32476257	624
32486257	673
32496257	679
32506257	630
32516257	626
32526257	678
32536257	707
32546257	638
32556265	682
32566257	669
32576257	651
32586257	619
32596257	646
32606257	674
32616257	637
32626257	624
32636257	636
32646257	669
32656265	685
32666257	625
32676257	672
32686257	688
32696257	626
32706257	688
32716257	679
32726257	672
32736257	626
32746257	659
32756265	746
32766257	643
32776257	624
32786257	675
32796257	678
32806257	630
